0,0.479557,513,5,ZINC09446708,1007,65470472
1,0.485725,513,5,ZINC09448696,1016,66060296
2,0.497947,497,5,ZINC13555943,3724,243597319
3,0.498016,462,5,ZINC13816971,1869,122093574
4,0.498552,513,5,ZINC09446708,1079,70189064
5,0.50321,513,5,ZINC09448696,989,64290824
6,0.688894,487,11,ZINC22744031,1897,123868303
7,0.688904,491,6,ZINC22749084,2671,174592861
8,0.688967,423,4,ZINC17093521,3739,244776964
9,0.689003,487,11,ZINC22744031,1915,125042695
10,0.689129,491,6,ZINC22749084,2671,174587911
11,0.689151,409,4,ZINC17088106,1165,76087300
12,0.700175,409,4,ZINC17088106,1165,76091629
13,0.700389,423,4,ZINC17093521,3757,245956612
14,0.700546,487,11,ZINC22744031,1915,125047951
15,0.700712,487,11,ZINC22744031,1897,123863047
